"","PC1","PC2","cluster","label"
"cell_73",0.0334513001465413,0.00618378217490416,"Cluster_1","Tumor"
"cell_74",0.0328685835580688,0.00175222903856164,"Cluster_1","Tumor"
"cell_75",0.0326083028095315,-0.00418688092888789,"Cluster_1","Tumor"
"cell_76",0.0314452512559153,0.0062455697052773,"Cluster_1","Tumor"
"cell_77",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_78",0.0336204184921678,-0.00281506468637232,"Cluster_1","Tumor"
"cell_79",0.0331146092434039,-0.0115551781850401,"Cluster_1","Tumor"
"cell_80",0.0337134049710774,-0.00258387315719175,"Cluster_1","Tumor"
"cell_81",0.0335547512243252,-0.00251436652585045,"Cluster_1","Tumor"
"cell_82",0.030315505746208,-0.0188618725532496,"Cluster_1","Tumor"
"cell_83",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_84",0.0338880400454936,-0.00360308509167908,"Cluster_1","Tumor"
"cell_85",0.033182184726954,-8.15190608903588e-06,"Cluster_1","Tumor"
"cell_86",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_87",0.0279444020605327,0.0186415757275112,"Cluster_1","Tumor"
"cell_88",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_89",0.032979921451497,0.000121441175284043,"Cluster_1","Tumor"
"cell_90",0.0334761132898876,0.00363718694887876,"Cluster_1","Tumor"
"cell_91",0.0333708781145329,-0.00109820547467939,"Cluster_1","Tumor"
"cell_92",0.0330793357217935,0.00354109861920971,"Cluster_1","Tumor"
"cell_93",0.0333386877188587,-0.00214196216091502,"Cluster_1","Tumor"
"cell_94",0.0325552445948173,0.005925527330764,"Cluster_1","Tumor"
"cell_95",0.0325832009326371,0.00571241328856567,"Cluster_1","Tumor"
"cell_96",0.0325346095053983,0.00469293901409165,"Cluster_1","Tumor"
"cell_97",0.0336377387444978,-0.00217852250646429,"Cluster_1","Tumor"
"cell_98",0.032790148477706,0.00149835542871576,"Cluster_1","Tumor"
"cell_99",0.0319921238719306,0.00886725662251439,"Cluster_1","Tumor"
"cell_100",0.0330233840592967,0.00316864924470045,"Cluster_1","Tumor"
"cell_101",0.03228136196014,0.00440129290407202,"Cluster_1","Normal"
"cell_102",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_103",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_104",0.0328565431335537,0.000841382451384599,"Cluster_1","Normal"
"cell_105",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_106",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
"cell_107",0.030678338978186,0.0133691378765082,"Cluster_1","Normal"
"cell_108",0.0334073004141543,0.0374919376915454,"Cluster_1","Normal"
"cell_109",0.0330494200465777,0.000377082142817418,"Cluster_1","Normal"
"cell_110",0.0327177726931695,3.01359175010619e-05,"Cluster_1","Normal"
"cell_111",0.0327036844481018,0.0022589927428541,"Cluster_1","Normal"
"cell_112",0.0331111662953207,-0.00102654778338942,"Cluster_1","Normal"
"cell_113",0.0330304502110411,-0.00200413455070403,"Cluster_1","Normal"
"cell_114",0.0333708781145329,-0.00109820547467939,"Cluster_1","Normal"
